identifierHash,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,country_short_list,x,y,kmeans
4102594210209285780,France,fr,4,9,75,0,0,0.0,33,2,M,True,False,True,True,26,2857,France,0.5726719840137517,0.24617321312173063,0.0
1107744944795649883,US,en,6,8,1,0,1,0.0,0,0,F,True,False,True,True,239,2857,US,-0.1532947149120543,-0.05978531008854526,0.0
-4561578476932123846,Swiss,en,3,8,40,0,0,0.0,0,0,F,True,False,True,True,134,2857,Swiss,-0.06649097399611205,0.33332556001669794,0.0
6212555117816418545,France,fr,4,8,0,0,1,0.0,0,0,F,False,False,False,False,285,2857,France,-0.1596303628049777,-0.0784152387112245,0.0
2223440464791259223,US,en,17,8,0,3,14,93.0,0,0,M,True,False,True,True,11,2857,US,-0.12532991569381777,-0.002992832274603206,0.0
-6890265940250887914,France,fr,3,8,1,0,0,0.0,0,0,F,False,False,False,True,696,2857,France,-0.15985430100503797,-0.07361265735612942,0.0
-2580655123001812144,Canada,en,5,8,25,0,0,0.0,0,0,M,True,False,True,True,694,2857,Canada,-0.09851695748032693,0.18490406186117936,0.0
-2389415685962004280,Australia,en,5,11,2,0,0,0.0,4,1,F,True,True,False,True,64,2857,Australia,-0.07547025816445672,-0.09849683371540786,0.0
1624175573957740798,France,fr,4,8,1,0,0,0.0,0,1,M,False,False,False,False,526,2857,France,-0.15520043402095782,-0.07063756084057939,0.0
5340915707892603689,UK,en,4,8,24,7,1,0.0,8,3,F,False,False,False,False,13,2857,UK,0.04047272862457593,0.06587858339988528,0.0
8826822961048286856,France,fr,3,8,6,0,0,0.0,0,0,F,True,False,True,True,299,2857,France,-0.1478338132220288,-0.0213524488157955,0.0
5162742973247620007,UK,en,3,8,19,0,0,0.0,3,1,M,True,False,True,True,31,2857,UK,-0.06448891206308896,0.07148185553477507,0.0
-930585341255079501,France,fr,3,8,3,0,0,0.0,0,0,F,False,False,False,True,696,2857,France,-0.15507094636312332,-0.0527518927230757,0.0
5686336942489719419,Italy,it,3,8,4,0,0,0.0,0,0,F,True,False,True,True,294,2857,Italy,-0.15261638573323535,-0.042211849507316504,0.0
4690532472169782131,France,fr,3,8,0,0,0,0.0,10,4,M,False,False,False,True,324,2857,France,0.013622049504008119,-0.22749732353645755,0.0
-9136736482722591107,US,en,3,8,5,0,0,0.0,4,0,M,False,False,False,True,24,2857,US,-0.0841127577203592,-0.08726647636381445,0.0
-6380077608252210269,US,en,3,8,1,0,0,0.0,1,0,F,False,False,False,True,696,2857,US,-0.14333687209661752,-0.08750232286007764,0.0
-3944315597790762972,US,en,3,8,28,0,0,0.0,4,0,M,False,False,False,True,13,2857,US,-0.029102458650782505,0.15263531758767515,0.0
-4687173814670717371,Canada,en,3,8,55,0,0,0.0,5,0,F,True,False,True,True,375,2857,Canada,0.051933631660220275,0.4202672252629816,0.0
2845670445394749453,Portugal,en,3,8,1,0,0,0.0,0,0,F,False,False,False,True,588,2857,Other,-0.15983740698174317,-0.07358319621902222,0.0
-1519853430293973189,Italy,it,10,8,0,2,3,0.0,0,0,F,True,False,True,True,11,2857,Italy,-0.1458843903831159,-0.04850595678297954,0.0
-2955014194081319987,UK,en,3,8,6,0,0,0.0,3,1,F,True,False,True,True,168,2857,UK,-0.09560214761693615,-0.06415048657807111,0.0
